"ID","time","lon","lat","hdop","x","y","depth"
4405883,2007-04-03 11:32:37,-111.8055,27.9369,28.6,79307.6654257434,57577.7817190741,NA
4405883,2007-04-03 11:34:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 11:38:00,-111.8126,27.9366,0.3,78604.754178154,57478.7408571402,NA
4405883,2007-04-03 11:39:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 11:44:00,NA,NA,NA,NA,NA,-143
4405883,2007-04-03 11:49:00,NA,NA,NA,NA,NA,-202
4405883,2007-04-03 11:54:00,NA,NA,NA,NA,NA,-161
4405883,2007-04-03 11:59:00,NA,NA,NA,NA,NA,-129
4405883,2007-04-03 12:02:04,-111.8083,27.9579,12.4,78811.167007572,59903.2853173967,NA
4405883,2007-04-03 12:04:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 12:09:00,NA,NA,NA,NA,NA,-117
4405883,2007-04-03 12:14:00,NA,NA,NA,NA,NA,-176
4405883,2007-04-03 12:19:00,NA,NA,NA,NA,NA,-167
4405883,2007-04-03 12:24:00,NA,NA,NA,NA,NA,-152
4405883,2007-04-03 12:27:28,-111.7949,27.9769,15.9,79945.7357902736,62154.3796467255,NA
4405883,2007-04-03 12:29:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 12:34:00,NA,NA,NA,NA,NA,-151
4405883,2007-04-03 12:39:00,NA,NA,NA,NA,NA,-238
4405883,2007-04-03 12:44:00,NA,NA,NA,NA,NA,-265
4405883,2007-04-03 12:49:00,NA,NA,NA,NA,NA,-247
4405883,2007-04-03 12:54:00,NA,NA,NA,NA,NA,-215
4405883,2007-04-03 12:57:12,-111.7811,27.9616,24.7,81476.9199569579,60568.7843372272,NA
4405883,2007-04-03 12:59:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 13:02:00,-111.7825,27.9584,14.4,81371.0531876695,60197.5261042486,NA
4405883,2007-04-03 13:04:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 13:09:00,NA,NA,NA,NA,NA,-272
4405883,2007-04-03 13:14:00,NA,NA,NA,NA,NA,-248
4405883,2007-04-03 13:19:00,NA,NA,NA,NA,NA,-254
4405883,2007-04-03 13:24:00,NA,NA,NA,NA,NA,-270
4405883,2007-04-03 13:29:00,NA,NA,NA,NA,NA,-270
4405883,2007-04-03 13:34:00,NA,NA,NA,NA,NA,-45
4405883,2007-04-03 13:34:53,-111.7984,27.94,6.3,79981.488064195,57990.3834333424,NA
4405883,2007-04-03 13:39:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 13:40:00,-111.8001,27.937,28.7,79843.6090719786,57638.7872334295,NA
4405883,2007-04-03 13:44:00,NA,NA,NA,NA,NA,-86
4405883,2007-04-03 13:49:00,NA,NA,NA,NA,NA,-274
4405883,2007-04-03 13:54:00,NA,NA,NA,NA,NA,-255
4405883,2007-04-03 13:59:00,NA,NA,NA,NA,NA,-147
4405883,2007-04-03 14:04:00,NA,NA,NA,NA,NA,-257
4405883,2007-04-03 14:09:00,NA,NA,NA,NA,NA,-218
4405883,2007-04-03 14:12:56,-111.806,27.933,19.9,79298.4352725253,57136.4931253898,NA
4405883,2007-04-03 14:14:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 14:18:00,-111.8092,27.9302,31,79009.272204444,56793.4819644107,NA
4405883,2007-04-03 14:19:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 14:24:00,NA,NA,NA,NA,NA,-253
4405883,2007-04-03 14:29:00,NA,NA,NA,NA,NA,-300
4405883,2007-04-03 14:34:00,NA,NA,NA,NA,NA,-260
4405883,2007-04-03 14:39:00,NA,NA,NA,NA,NA,-299
4405883,2007-04-03 14:44:00,NA,NA,NA,NA,NA,-317
4405883,2007-04-03 14:49:00,NA,NA,NA,NA,NA,-259
4405883,2007-04-03 14:54:00,NA,NA,NA,NA,NA,-25
4405883,2007-04-03 14:54:45,-111.8191,27.9079,10.2,78255.8785733818,54205.4209407419,NA
4405883,2007-04-03 14:59:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 15:00:00,-111.821,27.9057,22,78089.680674453,53941.6087313956,NA
4405883,2007-04-03 15:04:00,NA,NA,NA,NA,NA,-141
4405883,2007-04-03 15:09:00,NA,NA,NA,NA,NA,-447
4405883,2007-04-03 15:14:00,NA,NA,NA,NA,NA,-504
4405883,2007-04-03 15:19:00,NA,NA,NA,NA,NA,-498
4405883,2007-04-03 15:24:00,NA,NA,NA,NA,NA,-471
4405883,2007-04-03 15:29:00,NA,NA,NA,NA,NA,-287
4405883,2007-04-03 15:32:56,-111.8246,27.8825,31.3,77971.7230884791,51310.8628416047,NA
4405883,2007-04-03 15:34:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 15:38:00,-111.8277,27.8807,17.7,77681.9228732099,51080.8276513908,NA
4405883,2007-04-03 15:39:00,NA,NA,NA,NA,NA,2
4405883,2007-04-03 15:44:00,NA,NA,NA,NA,NA,-255
4405883,2007-04-03 15:49:00,NA,NA,NA,NA,NA,-347
4405883,2007-04-03 15:54:00,NA,NA,NA,NA,NA,-356
4405883,2007-04-03 15:59:00,NA,NA,NA,NA,NA,-359
4405883,2007-04-03 16:04:00,NA,NA,NA,NA,NA,-333
4405883,2007-04-03 16:09:00,NA,NA,NA,NA,NA,-372
4405883,2007-04-03 16:14:00,NA,NA,NA,NA,NA,-204
4405883,2007-04-03 16:16:55,-111.8368,27.8541,25,77051.3255695233,48018.9546423517,NA
4405883,2007-04-03 16:19:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 16:22:02,-111.8391,27.8518,14.9,76846.1827852891,47740.3296765531,NA
4405883,2007-04-03 16:24:00,NA,NA,NA,NA,NA,-79
4405883,2007-04-03 16:29:00,NA,NA,NA,NA,NA,-411
4405883,2007-04-03 16:34:00,NA,NA,NA,NA,NA,-701
4405883,2007-04-03 16:39:00,NA,NA,NA,NA,NA,-835
4405883,2007-04-03 16:44:00,NA,NA,NA,NA,NA,-858
4405883,2007-04-03 16:49:00,NA,NA,NA,NA,NA,-820
4405883,2007-04-03 16:54:00,NA,NA,NA,NA,NA,-828
4405883,2007-04-03 16:59:00,NA,NA,NA,NA,NA,-525
4405883,2007-04-03 17:04:00,NA,NA,NA,NA,NA,1
4405883,2007-04-03 17:04:09,-111.8448,27.831,19.8,76493.4489354289,45359.1823877031,NA
4405883,2007-04-03 17:09:00,-111.8474,27.8298,14.4,76247.024220654,45200.9986397349,1
4405883,2007-04-03 17:14:00,NA,NA,NA,NA,NA,-255
4405883,2007-04-03 17:19:00,NA,NA,NA,NA,NA,-670
4405883,2007-04-03 17:24:00,NA,NA,NA,NA,NA,-837
4405883,2007-04-03 17:29:00,NA,NA,NA,NA,NA,-984
4405883,2007-04-03 17:34:00,NA,NA,NA,NA,NA,-884
4405883,2007-04-03 17:39:00,NA,NA,NA,NA,NA,-1195
4405883,2007-04-03 17:44:00,NA,NA,NA,NA,NA,-1159
4405883,2007-04-03 17:49:00,NA,NA,NA,NA,NA,-633
4405883,2007-04-03 17:54:00,NA,NA,NA,NA,NA,-55
4405883,2007-04-03 17:54:48,-111.8567,27.8119,24.1,75505.6138810548,43111.6834935243,NA
4405883,2007-04-03 17:59:00,NA,NA,NA,NA,NA,1
